"","Source","Station","Date","Time","SampleDepth","SampleId","ParameterType","ParameterName","Value","Qualifier","Problem","Description"
"14","JRA","JRA.J08","08/20/2020","11:51 AM",0.3,1,"WaterQuality","CO.4","180",NA,NA,"Conductivity (uS/cm)"
"15","JRA","JRA.J08","08/20/2020","11:51 AM",0.3,1,"WaterQuality","ECOLI.4","1732.9",NA,NA,"Colilert (CFU/100mL)"
"16","JRA","JRA.J08","08/20/2020","11:51 AM",0.3,1,"WaterQuality","WC.6","17.8",NA,NA,"Turbidity (NTU)"
"17","JRA","JRA.J08","08/20/2020","11:51 AM",0.3,1,"WaterQuality","WT.2","25.7",NA,NA,"Water Temp (deg C)"
"18","JRA","JRA.J08","08/20/2020","11:51 AM",0.3,NA,"Comments","COMMENTS","sunny/partly cloudy, don<U+FFFD><U+FFFD><U+FFFD>t think it has rained in the last 48 hrs",NA,NA,"Comments (open text)"
"19","JRA","JRA.C05","06/18/2020","11:15 AM",0.3,1,"WaterQuality","AT.2","25.3",NA,NA,"Air Temp (deg C)"
"20","JRA","JRA.C05","06/18/2020","11:15 AM",0.3,1,"WaterQuality","CO.4","110",NA,NA,"Conductivity (uS/cm)"
"21","JRA","JRA.C05","06/18/2020","11:15 AM",0.3,1,"WaterQuality","ECOLI.4","1413.6",NA,NA,"Colilert (CFU/100mL)"
"22","JRA","JRA.C05","06/18/2020","11:15 AM",0.3,1,"WaterQuality","WC.6","16.2",NA,NA,"Turbidity (NTU)"
"23","JRA","JRA.C05","06/18/2020","11:15 AM",0.3,1,"WaterQuality","WT.2","21.1",NA,NA,"Water Temp (deg C)"
"24","JRA","JRA.C05","06/18/2020","11:15 AM",0.3,NA,"Comments","COMMENTS","Partly sunny, no wind. Water level higher than last observation, (6-11-20) due to previous day's precipitation. No individuals at site. Area appeared litter-free, trash receptical was empty.

*Turbidity meter overrange at 9.96*",NA,NA,"Comments (open text)"
"25","JRA","JRA.C05","08/06/2020","10:29 AM",0.3,1,"WaterQuality","AT.2","26.3",NA,NA,"Air Temp (deg C)"
"26","JRA","JRA.C05","08/06/2020","10:29 AM",0.3,1,"WaterQuality","CO.4","64",NA,NA,"Conductivity (uS/cm)"
"27","JRA","JRA.C05","08/06/2020","10:29 AM",0.3,1,"WaterQuality","ECOLI.4","1413.6",NA,NA,"Colilert (CFU/100mL)"
"28","JRA","JRA.C05","08/06/2020","10:29 AM",0.3,1,"WaterQuality","WC.6","13.4",NA,NA,"Turbidity (NTU)"
"29","JRA","JRA.C05","08/06/2020","10:29 AM",0.3,1,"WaterQuality","WT.2","24.3",NA,NA,"Water Temp (deg C)"
"30","JRA","JRA.C05","08/06/2020","10:29 AM",0.3,NA,"Comments","COMMENTS","Sample collected by Jordan Wootton. Jordon wrote 0.64 for the conductivity; but in that that number is so abnormal from what we might expect, I [Genevieve] emailed her to confirm it before reporting that number.

Jordan's notes: Tropical storm Mon means site is underwater! Water moving swiftly.",NA,NA,"Comments (open text)"
"31","JRA","JRA.J08","09/03/2020","11:18 AM",0.3,1,"WaterQuality","AT.2","29",NA,NA,"Air Temp (deg C)"
"32","JRA","JRA.J08","09/03/2020","11:18 AM",0.3,1,"WaterQuality","CO.4","100",NA,NA,"Conductivity (uS/cm)"
"33","JRA","JRA.J08","09/03/2020","11:18 AM",0.3,1,"WaterQuality","ECOLI.4","1413.6",NA,NA,"Colilert (CFU/100mL)"
"34","JRA","JRA.J08","09/03/2020","11:18 AM",0.3,1,"WaterQuality","WC.6","73.3",NA,NA,"Turbidity (NTU)"
"35","JRA","JRA.J08","09/03/2020","11:18 AM",0.3,1,"WaterQuality","WT.2","24.2",NA,NA,"Water Temp (deg C)"
"36","JRA","JRA.J08","09/03/2020","11:18 AM",0.3,NA,"Comments","COMMENTS","Fast brown water with visible floating trash. Flock of geese. Paddle boarder just getting out.",NA,NA,"Comments (open text)"
"37","JRA","JRA.A01","07/09/2020","11:45 AM",0.3,1,"WaterQuality","AT.2","34.5",NA,NA,"Air Temp (deg C)"
"38","JRA","JRA.A01","07/09/2020","11:45 AM",0.3,1,"WaterQuality","CO.4","212",NA,NA,"Conductivity (uS/cm)"
"39","JRA","JRA.A01","07/09/2020","11:45 AM",0.3,1,"WaterQuality","ECOLI.4","1299.7",NA,NA,"Colilert (CFU/100mL)"
"40","JRA","JRA.A01","07/09/2020","11:45 AM",0.3,1,"WaterQuality","WC.6","12.3",NA,NA,"Turbidity (NTU)"
"41","JRA","JRA.A01","07/09/2020","11:45 AM",0.3,1,"WaterQuality","WT.2","31.9",NA,NA,"Water Temp (deg C)"
"42","JRA","JRA.A08","09/04/2020","03:12 PM",0.3,1,"WaterQuality","AT.2","27",NA,NA,"Air Temp (deg C)"
"43","JRA","JRA.A08","09/04/2020","03:12 PM",0.3,1,"WaterQuality","CO.4","80",NA,NA,"Conductivity (uS/cm)"
"44","JRA","JRA.A08","09/04/2020","03:12 PM",0.3,1,"WaterQuality","ECOLI.1","34",NA,NA,"Coliscan CFU/100mL)"
"45","JRA","JRA.A08","09/04/2020","03:12 PM",0.3,1,"WaterQuality","WC.6","12.18",NA,NA,"Turbidity (NTU)"
"46","JRA","JRA.A08","09/04/2020","03:12 PM",0.3,1,"WaterQuality","WT.2","23.5",NA,NA,"Water Temp (deg C)"
"47","JRA","JRA.A08","09/04/2020","03:12 PM",0.3,NA,"Comments","COMMENTS","Sunny, warm , rain heavy day before",NA,NA,"Comments (open text)"
"48","JRA","JRA.J35","06/18/2020","10:45 AM",0.3,1,"WaterQuality","AT.2","21.8",NA,NA,"Air Temp (deg C)"
"49","JRA","JRA.J35","06/18/2020","10:45 AM",0.3,1,"WaterQuality","CO.4","160",NA,NA,"Conductivity (uS/cm)"
"50","JRA","JRA.J35","06/18/2020","10:45 AM",0.3,1,"WaterQuality","ECOLI.1","1000",NA,NA,"Coliscan CFU/100mL)"
"51","JRA","JRA.J35","06/18/2020","10:45 AM",0.3,1,"WaterQuality","WC.6","69.6",NA,"F","Turbidity (NTU)"
"52","JRA","JRA.J35","06/18/2020","10:45 AM",0.3,1,"WaterQuality","WT.2","16.8",NA,NA,"Water Temp (deg C)"
"53","JRA","JRA.J35","06/18/2020","10:45 AM",0.3,NA,"Comments","COMMENTS","Turbidity Calibration Standard Issue; Cloudy, heavy rain over last several days.  Water level high, murky, and debris floating down river.
Turbidity meter would not calibrate.",NA,NA,"Comments (open text)"
"54","JRA","JRA.J21","08/06/2020","10:27 AM",0.3,1,"WaterQuality","AT.2","25.3",NA,NA,"Air Temp (deg C)"
"55","JRA","JRA.J21","08/06/2020","10:27 AM",0.3,1,"WaterQuality","CO.4","220",NA,NA,"Conductivity (uS/cm)"
"56","JRA","JRA.J21","08/06/2020","10:27 AM",0.3,1,"WaterQuality","ECOLI.4","980.4",NA,NA,"Colilert (CFU/100mL)"
"57","JRA","JRA.J21","08/06/2020","10:27 AM",0.3,1,"WaterQuality","WC.6","13.7",NA,NA,"Turbidity (NTU)"
"58","JRA","JRA.J21","08/06/2020","10:27 AM",0.3,1,"WaterQuality","WT.2","27.3",NA,NA,"Water Temp (deg C)"
"59","JRA","JRA.J21","08/06/2020","10:27 AM",0.3,NA,"Comments","COMMENTS","Clear, hot, water high and murky, kayakers out, ducks nearby",NA,NA,"Comments (open text)"
"60","JRA","JRA.J20","05/21/2020","01:14 PM",0.3,1,"WaterQuality","AT.2","21.4",NA,NA,"Air Temp (deg C)"
"61","JRA","JRA.J20","05/21/2020","01:14 PM",0.3,1,"WaterQuality","CO.4","200",NA,NA,"Conductivity (uS/cm)"
"62","JRA","JRA.J20","05/21/2020","01:14 PM",0.3,1,"WaterQuality","ECOLI.4","827",NA,NA,"Colilert (CFU/100mL)"
"63","JRA","JRA.J20","05/21/2020","01:14 PM",0.3,1,"WaterQuality","WC.6","10.87",NA,NA,"Turbidity (NTU)"
"64","JRA","JRA.J20","05/21/2020","01:14 PM",0.3,1,"WaterQuality","WT.2","17.7",NA,NA,"Water Temp (deg C)"
"65","JRA","JRA.J20","05/21/2020","01:14 PM",0.3,NA,"Comments","COMMENTS","Drizzly week, high water; partly cloudy; lots of walkers/joggers/fishers recreating nearby.",NA,NA,"Comments (open text)"
"66","JRA","JRA.J20","09/03/2020","10:45 AM",0.3,1,"WaterQuality","AT.2","28.2",NA,NA,"Air Temp (deg C)"
"67","JRA","JRA.J20","09/03/2020","10:45 AM",0.3,1,"WaterQuality","CO.4","100",NA,NA,"Conductivity (uS/cm)"
"68","JRA","JRA.J20","09/03/2020","10:45 AM",0.3,1,"WaterQuality","ECOLI.4","770.1",NA,NA,"Colilert (CFU/100mL)"
"69","JRA","JRA.J20","09/03/2020","10:45 AM",0.3,1,"WaterQuality","WC.6","62.6",NA,NA,"Turbidity (NTU)"
"70","JRA","JRA.J20","09/03/2020","10:45 AM",0.3,1,"WaterQuality","WT.2","23.3",NA,NA,"Water Temp (deg C)"
"71","JRA","JRA.J20","09/03/2020","10:45 AM",0.3,NA,"Comments","COMMENTS","Sample collected by Gordon Kellett. His notes: ""Fast brown water, 2 people swimming.""",NA,NA,"Comments (open text)"
"72","JRA","JRA.J35","05/21/2020","01:00 PM",0.3,1,"WaterQuality","AT.2","14.1",NA,NA,"Air Temp (deg C)"
"73","JRA","JRA.J35","05/21/2020","01:00 PM",0.3,1,"WaterQuality","CO.4","130",NA,NA,"Conductivity (uS/cm)"
"74","JRA","JRA.J35","05/21/2020","01:00 PM",0.3,1,"WaterQuality","ECOLI.1","733",NA,NA,"Coliscan CFU/100mL)"
"75","JRA","JRA.J35","05/21/2020","01:00 PM",0.3,1,"WaterQuality","WC.6","17.3",NA,NA,"Turbidity (NTU)"
"76","JRA","JRA.J35","05/21/2020","01:00 PM",0.3,1,"WaterQuality","WT.2","13.1",NA,NA,"Water Temp (deg C)"
"77","JRA","JRA.J35","05/21/2020","01:00 PM",0.3,NA,"Comments","COMMENTS","It has been raining all week. River is extremely high due to flooding throughout Central and Western Virginia.",NA,NA,"Comments (open text)"
"78","JRA","JRA.A08","08/27/2020","11:00 AM",0.3,1,"WaterQuality","AT.2","27.7",NA,NA,"Air Temp (deg C)"
"79","JRA","JRA.A08","08/27/2020","11:00 AM",0.3,1,"WaterQuality","CO.4","100",NA,NA,"Conductivity (uS/cm)"
"80","JRA","JRA.A08","08/27/2020","11:00 AM",0.3,2,"WaterQuality","ECOLI.1","133",NA,NA,"Coliscan CFU/100mL)"
"81","JRA","JRA.A08","08/27/2020","11:00 AM",0.3,1,"WaterQuality","ECOLI.1","66",NA,NA,"Coliscan CFU/100mL)"
"82","JRA","JRA.A08","08/27/2020","11:00 AM",0.3,1,"WaterQuality","WC.6","4.64",NA,NA,"Turbidity (NTU)"
"83","JRA","JRA.A08","08/27/2020","11:00 AM",0.3,1,"WaterQuality","WT.2","24.6",NA,NA,"Water Temp (deg C)"
"84","JRA","JRA.A08","08/27/2020","11:00 AM",0.3,NA,"Comments","COMMENTS","Warm,sunny and dry",NA,NA,"Comments (open text)"
"85","JRA","JRA.J23","09/03/2020","08:10 AM",0.3,1,"WaterQuality","AT.2","24.6",NA,NA,"Air Temp (deg C)"
"86","JRA","JRA.J23","09/03/2020","08:10 AM",0.3,1,"WaterQuality","CO.4","100",NA,NA,"Conductivity (uS/cm)"
"87","JRA","JRA.J23","09/03/2020","08:10 AM",0.3,1,"WaterQuality","ECOLI.4","727",NA,NA,"Colilert (CFU/100mL)"
"88","JRA","JRA.J23","09/03/2020","08:10 AM",0.3,1,"WaterQuality","WC.6","60.6",NA,NA,"Turbidity (NTU)"
"89","JRA","JRA.J23","09/03/2020","08:10 AM",0.3,1,"WaterQuality","WT.2","23.5",NA,NA,"Water Temp (deg C)"
"90","JRA","JRA.J23","09/03/2020","08:10 AM",0.3,NA,"Comments","COMMENTS","Muddy along site, water very turbid, duck swimming nearby. Lots of trash around lot",NA,NA,"Comments (open text)"
"91","JRA","JRA.M05","08/27/2020","10:50 AM",0.3,1,"WaterQuality","AT.2","26.3",NA,NA,"Air Temp (deg C)"
"92","JRA","JRA.M05","08/27/2020","10:50 AM",0.3,1,"WaterQuality","CO.4","240",NA,NA,"Conductivity (uS/cm)"
"93","JRA","JRA.M05","08/27/2020","10:50 AM",0.3,1,"WaterQuality","ECOLI.1","667",NA,NA,"Coliscan CFU/100mL)"
"94","JRA","JRA.M05","08/27/2020","10:50 AM",0.3,1,"WaterQuality","WC.6","16.9",NA,NA,"Turbidity (NTU)"
"95","JRA","JRA.M05","08/27/2020","10:50 AM",0.3,1,"WaterQuality","WT.2","25.4",NA,NA,"Water Temp (deg C)"
"96","JRA","JRA.M05","08/27/2020","10:50 AM",0.3,NA,"Comments","COMMENTS","No rain in 48 hours but water levels had been very high earlier",NA,NA,"Comments (open text)"
"97","JRA","JRA.J22","09/03/2020","09:25 AM",0.3,1,"WaterQuality","AT.2","26.9",NA,NA,"Air Temp (deg C)"
"98","JRA","JRA.J22","09/03/2020","09:25 AM",0.3,1,"WaterQuality","CO.4","100",NA,NA,"Conductivity (uS/cm)"
"99","JRA","JRA.J22","09/03/2020","09:25 AM",0.3,1,"WaterQuality","ECOLI.4","648.8",NA,NA,"Colilert (CFU/100mL)"
"100","JRA","JRA.J22","09/03/2020","09:25 AM",0.3,1,"WaterQuality","WC.6","70.2",NA,NA,"Turbidity (NTU)"
"101","JRA","JRA.J22","09/03/2020","09:25 AM",0.3,1,"WaterQuality","WT.2","23.8",NA,NA,"Water Temp (deg C)"
"102","JRA","JRA.J22","09/03/2020","09:25 AM",0.3,NA,"Comments","COMMENTS","Very high, water fast moving and muddy. Ducks swimming by site and swallowtail butterfly near site feeding on mud.",NA,NA,"Comments (open text)"
"103","JRA","JRA.J24","09/03/2020","08:05 AM",0.3,1,"WaterQuality","AT.2","23.8",NA,NA,"Air Temp (deg C)"
"104","JRA","JRA.J24","09/03/2020","08:05 AM",0.3,1,"WaterQuality","CO.4","110",NA,NA,"Conductivity (uS/cm)"
"105","JRA","JRA.J24","09/03/2020","08:05 AM",0.3,1,"WaterQuality","ECOLI.4","648.8",NA,NA,"Colilert (CFU/100mL)"
"106","JRA","JRA.J24","09/03/2020","08:05 AM",0.3,1,"WaterQuality","WC.6","45.8",NA,NA,"Turbidity (NTU)"
"107","JRA","JRA.J24","09/03/2020","08:05 AM",0.3,1,"WaterQuality","WT.2","23.3",NA,NA,"Water Temp (deg C)"
"108","JRA","JRA.J24","09/03/2020","08:05 AM",0.3,NA,"Comments","COMMENTS","Very high water levels, fast-flowing, very muddy.",NA,NA,"Comments (open text)"
"109","JRA","JRA.C05","07/02/2020","10:45 AM",0.3,1,"WaterQuality","AT.2","32.1",NA,NA,"Air Temp (deg C)"
"110","JRA","JRA.C05","07/02/2020","10:45 AM",0.3,1,"WaterQuality","CO.4","150",NA,NA,"Conductivity (uS/cm)"
"111","JRA","JRA.C05","07/02/2020","10:45 AM",0.3,1,"WaterQuality","ECOLI.4","613.1",NA,NA,"Colilert (CFU/100mL)"
"112","JRA","JRA.C05","07/02/2020","10:45 AM",0.3,1,"WaterQuality","WC.6","16.7",NA,NA,"Turbidity (NTU)"
"113","JRA","JRA.C05","07/02/2020","10:45 AM",0.3,1,"WaterQuality","WT.2","26.1",NA,NA,"Water Temp (deg C)"
"114","JRA","JRA.C05","07/02/2020","10:45 AM",0.3,NA,"Comments","COMMENTS","Sunny, water clear of debris and moving steadily
*turbidity meter acting up",NA,NA,"Comments (open text)"
"115","JRA","JRA.J21","08/13/2020","04:45 PM",0.3,1,"WaterQuality","AT.2","26.1",NA,NA,"Air Temp (deg C)"
"116","JRA","JRA.J21","08/13/2020","04:45 PM",0.3,1,"WaterQuality","CO.4","210",NA,NA,"Conductivity (uS/cm)"
"117","JRA","JRA.J21","08/13/2020","04:45 PM",0.3,1,"WaterQuality","ECOLI.4","613.1",NA,NA,"Colilert (CFU/100mL)"
"118","JRA","JRA.J21","08/13/2020","04:45 PM",0.3,1,"WaterQuality","WC.6","5.24",NA,NA,"Turbidity (NTU)"
"119","JRA","JRA.J21","08/13/2020","04:45 PM",0.3,1,"WaterQuality","WT.2","28.4",NA,NA,"Water Temp (deg C)"
"120","JRA","JRA.J21","08/13/2020","04:45 PM",0.3,NA,"Comments","COMMENTS","Calm cloudy kayakers nearby",NA,NA,"Comments (open text)"
"121","JRA","JRA.J35","09/03/2020","11:29 AM",0.3,1,"WaterQuality","AT.2","30.3",NA,NA,"Air Temp (deg C)"
"122","JRA","JRA.J35","09/03/2020","11:29 AM",0.3,1,"WaterQuality","CO.4","140",NA,NA,"Conductivity (uS/cm)"
"123","JRA","JRA.J35","09/03/2020","11:29 AM",0.3,1,"WaterQuality","ECOLI.1","567",NA,NA,"Coliscan CFU/100mL)"
"124","JRA","JRA.J35","09/03/2020","11:29 AM",0.3,1,"WaterQuality","WC.6","27.1",NA,NA,"Turbidity (NTU)"
"125","JRA","JRA.J35","09/03/2020","11:29 AM",0.3,1,"WaterQuality","WT.2","23.6",NA,NA,"Water Temp (deg C)"
"126","JRA","JRA.J35","09/03/2020","11:29 AM",0.3,NA,"Comments","COMMENTS","Sunny with scattered strong storms moving through the area.  James River Adventures closed due to high water.",NA,NA,"Comments (open text)"
"127","JRA","JRA.J10","09/04/2020","10:59 AM",0.3,1,"WaterQuality","AT.2","24.8",NA,NA,"Air Temp (deg C)"
"128","JRA","JRA.J10","09/04/2020","10:59 AM",0.3,1,"WaterQuality","CO.4","100",NA,NA,"Conductivity (uS/cm)"
"129","JRA","JRA.J10","09/04/2020","10:59 AM",0.3,1,"WaterQuality","ECOLI.4","549.3",NA,NA,"Colilert (CFU/100mL)"
"130","JRA","JRA.J10","09/04/2020","10:59 AM",0.3,1,"WaterQuality","WC.6","68.9",NA,NA,"Turbidity (NTU)"
"131","JRA","JRA.J10","09/04/2020","10:59 AM",0.3,1,"WaterQuality","WT.2","24.1",NA,NA,"Water Temp (deg C)"
"132","JRA","JRA.J10","09/04/2020","10:59 AM",0.3,NA,"Comments","COMMENTS","Sample collected by Gordon Kellett. His notes: ""Fast brown water. Fisherman just sitting. No birds. Level high.""",NA,NA,"Comments (open text)"
"133","JRA","JRA.J21","09/03/2020","10:22 AM",0.3,1,"WaterQuality","AT.2","25.6",NA,NA,"Air Temp (deg C)"
"134","JRA","JRA.J21","09/03/2020","10:22 AM",0.3,1,"WaterQuality","CO.4","100",NA,NA,"Conductivity (uS/cm)"
"135","JRA","JRA.J21","09/03/2020","10:22 AM",0.3,1,"WaterQuality","ECOLI.4","547.5",NA,NA,"Colilert (CFU/100mL)"
"136","JRA","JRA.J21","09/03/2020","10:22 AM",0.3,1,"WaterQuality","WC.6","62.7",NA,NA,"Turbidity (NTU)"
"137","JRA","JRA.J21","09/03/2020","10:22 AM",0.3,1,"WaterQuality","WT.2","23.7",NA,NA,"Water Temp (deg C)"
"138","JRA","JRA.J21","09/03/2020","10:22 AM",0.3,NA,"Comments","COMMENTS","Sample collected by Gordon Kellett. His notes: ""Fast flow, brown water. Few geese. Barred owl heard.""",NA,NA,"Comments (open text)"
"139","JRA","JRA.C05","06/11/2020","11:15 AM",0.3,1,"WaterQuality","AT.2","30.7",NA,NA,"Air Temp (deg C)"
"140","JRA","JRA.C05","06/11/2020","11:15 AM",0.3,1,"WaterQuality","CO.4","170",NA,NA,"Conductivity (uS/cm)"
"141","JRA","JRA.C05","06/11/2020","11:15 AM",0.3,1,"WaterQuality","ECOLI.4","517.2",NA,NA,"Colilert (CFU/100mL)"
"142","JRA","JRA.C05","06/11/2020","11:15 AM",0.3,1,"WaterQuality","WC.6","17.1",NA,NA,"Turbidity (NTU)"
"143","JRA","JRA.C05","06/11/2020","11:15 AM",0.3,1,"WaterQuality","WT.2","26.9",NA,NA,"Water Temp (deg C)"
"144","JRA","JRA.C05","06/11/2020","11:15 AM",0.3,NA,"Comments","COMMENTS","Overcast sky, very humid, slight breeze. Seven people at site, adult couple with two children in canoe, one fisherman, one father and son. Small amount of litter. Trash receptical was completely full, almost overflowing.",NA,NA,"Comments (open text)"
"145","JRA","JRA.J08","07/02/2020","11:15 AM",0.3,1,"WaterQuality","AT.2","30.8",NA,NA,"Air Temp (deg C)"
"146","JRA","JRA.J08","07/02/2020","11:15 AM",0.3,1,"WaterQuality","CO.4","170",NA,NA,"Conductivity (uS/cm)"
"147","JRA","JRA.J08","07/02/2020","11:15 AM",0.3,1,"WaterQuality","ECOLI.4","517.2",NA,NA,"Colilert (CFU/100mL)"
"148","JRA","JRA.J08","07/02/2020","11:15 AM",0.3,1,"WaterQuality","WC.6","4.05",NA,"F","Turbidity (NTU)"
"149","JRA","JRA.J08","07/02/2020","11:15 AM",0.3,1,"WaterQuality","WT.2","27.8",NA,NA,"Water Temp (deg C)"
"150","JRA","JRA.J08","07/02/2020","11:15 AM",0.3,NA,"Comments","COMMENTS","Turbidity Calibration Standard Issue; Lo tide, calm, no boats, people or birds.
*turbidity meter acting up",NA,NA,"Comments (open text)"
"151","JRA","JRA.J24","07/09/2020","11:30 AM",0.3,1,"WaterQuality","AT.2","28",NA,NA,"Air Temp (deg C)"
"152","JRA","JRA.J24","07/09/2020","11:30 AM",0.3,1,"WaterQuality","CO.4","190",NA,NA,"Conductivity (uS/cm)"
"153","JRA","JRA.J24","07/09/2020","11:30 AM",0.3,1,"WaterQuality","ECOLI.4","501.2",NA,NA,"Colilert (CFU/100mL)"
"154","JRA","JRA.J24","07/09/2020","11:30 AM",0.3,1,"WaterQuality","WC.6","4.2",NA,NA,"Turbidity (NTU)"
"155","JRA","JRA.J24","07/09/2020","11:30 AM",0.3,1,"WaterQuality","WT.2","30.4",NA,NA,"Water Temp (deg C)"
"156","JRA","JRA.J24","07/09/2020","11:30 AM",0.3,NA,"Comments","COMMENTS","Partly cloudy, kayaks. Calm water.",NA,NA,"Comments (open text)"
"157","JRA","JRA.M05","08/20/2020","10:45 AM",0.3,1,"WaterQuality","AT.2","21.1",NA,NA,"Air Temp (deg C)"
"158","JRA","JRA.M05","08/20/2020","10:45 AM",0.3,1,"WaterQuality","CO.4","190",NA,NA,"Conductivity (uS/cm)"
"159","JRA","JRA.M05","08/20/2020","10:45 AM",0.3,2,"WaterQuality","ECOLI.1","433",NA,NA,"Coliscan CFU/100mL)"
"160","JRA","JRA.M05","08/20/2020","10:45 AM",0.3,1,"WaterQuality","ECOLI.1","467",NA,NA,"Coliscan CFU/100mL)"
"161","JRA","JRA.M05","08/20/2020","10:45 AM",0.3,1,"WaterQuality","WC.6","10.34",NA,NA,"Turbidity (NTU)"
"162","JRA","JRA.M05","08/20/2020","10:45 AM",0.3,1,"WaterQuality","WT.2","21.5",NA,NA,"Water Temp (deg C)"
"163","JRA","JRA.M05","08/20/2020","10:45 AM",0.3,NA,"Comments","COMMENTS","Top dish in photo is sample. Bottom is duplicate

Scattered showers last48 hours. Water level high",NA,NA,"Comments (open text)"
"164","JRA","JRA.J08","06/18/2020","11:10 AM",0.3,1,"WaterQuality","AT.2","26.6",NA,NA,"Air Temp (deg C)"
"165","JRA","JRA.J08","06/18/2020","11:10 AM",0.3,1,"WaterQuality","CO.4","180",NA,NA,"Conductivity (uS/cm)"
"166","JRA","JRA.J08","06/18/2020","11:10 AM",0.3,1,"WaterQuality","ECOLI.4","488.8",NA,NA,"Colilert (CFU/100mL)"
"167","JRA","JRA.J08","06/18/2020","11:10 AM",0.3,1,"WaterQuality","WC.6","7.94",NA,NA,"Turbidity (NTU)"
"168","JRA","JRA.J08","06/18/2020","11:10 AM",0.3,1,"WaterQuality","WT.2","21.7",NA,NA,"Water Temp (deg C)"
"169","JRA","JRA.J08","06/18/2020","11:10 AM",0.3,NA,"Comments","COMMENTS","River level high after several days of rain",NA,NA,"Comments (open text)"
"170","JRA","JRA.M05","08/13/2020","10:45 AM",0.3,1,"WaterQuality","AT.2","23.5",NA,NA,"Air Temp (deg C)"
"171","JRA","JRA.M05","08/13/2020","10:45 AM",0.3,1,"WaterQuality","CO.4","220",NA,NA,"Conductivity (uS/cm)"
"172","JRA","JRA.M05","08/13/2020","10:45 AM",0.3,1,"WaterQuality","ECOLI.1","500",NA,NA,"Coliscan CFU/100mL)"
"173","JRA","JRA.M05","08/13/2020","10:45 AM",0.3,1,"WaterQuality","WC.6","12.46",NA,NA,"Turbidity (NTU)"
"174","JRA","JRA.M05","08/13/2020","10:45 AM",0.3,1,"WaterQuality","WT.2","24.6",NA,NA,"Water Temp (deg C)"
"175","JRA","JRA.M05","08/13/2020","10:45 AM",0.3,NA,"Comments","COMMENTS","Thunderstorms within 24 hours. Intermittent rain at time of sampling",NA,NA,"Comments (open text)"
"176","JRA","JRA.J22","05/28/2020","11:35 AM",0.3,1,"WaterQuality","AT.2","22.7",NA,NA,"Air Temp (deg C)"
"177","JRA","JRA.J22","05/28/2020","11:35 AM",0.3,1,"WaterQuality","CO.4","140",NA,NA,"Conductivity (uS/cm)"
"178","JRA","JRA.J22","05/28/2020","11:35 AM",0.3,1,"WaterQuality","ECOLI.4","461.1",NA,NA,"Colilert (CFU/100mL)"
"179","JRA","JRA.J22","05/28/2020","11:35 AM",0.3,1,"WaterQuality","WC.6","17.2",NA,NA,"Turbidity (NTU)"
"180","JRA","JRA.J22","05/28/2020","11:35 AM",0.3,1,"WaterQuality","WT.2","19.8",NA,NA,"Water Temp (deg C)"
"181","JRA","JRA.J22","05/28/2020","11:35 AM",0.3,NA,"Comments","COMMENTS","Raining moderately; on-and-off. Thunder. About 10 white water rafters departed from 42nd St at approximately 11:40. Otherwise, the park was deserted.",NA,NA,"Comments (open text)"
"182","JRA","JRA.J10","05/21/2020","01:30 PM",0.3,1,"WaterQuality","AT.2","21",NA,NA,"Air Temp (deg C)"
